timestamp,yes_price,no_price,best_bid,best_ask,spread,volume_24h
2024-01-01T00:00:00,0.5462,0.4538,0.5421,0.5503,0.0081,7540.71
2024-01-01T00:01:00,0.544,0.456,0.5329,0.5551,0.0223,10933.45
2024-01-01T00:02:00,0.548,0.452,0.5397,0.5562,0.0164,10917.89
2024-01-01T00:03:00,0.5472,0.4528,0.5442,0.5501,0.0059,11252.63
2024-01-01T00:04:00,0.5486,0.4514,0.5457,0.5516,0.0058,10912.55
2024-01-01T00:05:00,0.5486,0.4514,0.5398,0.5574,0.0176,9212.68
2024-01-01T00:06:00,0.552,0.448,0.5458,0.5582,0.0124,5365.01
2024-01-01T00:07:00,0.552,0.448,0.5409,0.563,0.0222,5869.19
2024-01-01T00:08:00,0.5514,0.4486,0.5487,0.5541,0.0053,8188.14
2024-01-01T00:09:00,0.5483,0.4517,0.5424,0.5542,0.0118,7002.37
2024-01-01T00:10:00,0.5502,0.4498,0.5426,0.5578,0.0152,8743.86
2024-01-01T00:11:00,0.5513,0.4487,0.5396,0.563,0.0234,6218.83
2024-01-01T00:12:00,0.5476,0.4524,0.5375,0.5577,0.0202,7987.72
2024-01-01T00:13:00,0.5531,0.4469,0.5442,0.5621,0.0178,8982.85
2024-01-01T00:14:00,0.5535,0.4465,0.5472,0.5597,0.0125,9465.31
2024-01-01T00:15:00,0.5557,0.4443,0.5493,0.5622,0.0129,8803.27
2024-01-01T00:16:00,0.5495,0.4505,0.5448,0.5541,0.0093,8912.13
2024-01-01T00:17:00,0.5492,0.4508,0.5461,0.5523,0.0062,5195.77
2024-01-01T00:18:00,0.5486,0.4514,0.5395,0.5577,0.0182,7546.03
2024-01-01T00:19:00,0.5493,0.4507,0.5398,0.5588,0.019,8003.54
2024-01-01T00:20:00,0.5481,0.4519,0.5425,0.5536,0.0112,10499.92
2024-01-01T00:21:00,0.5471,0.4529,0.5393,0.5549,0.0156,9261.09
2024-01-01T00:22:00,0.5483,0.4517,0.5443,0.5523,0.008,10452.3
2024-01-01T00:23:00,0.545,0.455,0.5385,0.5515,0.013,6921.61
2024-01-01T00:24:00,0.5462,0.4538,0.5392,0.5532,0.014,7063.15
2024-01-01T00:25:00,0.5539,0.4461,0.5445,0.5633,0.0187,10801.6
2024-01-01T00:26:00,0.5514,0.4486,0.5399,0.5628,0.0229,7191.48
2024-01-01T00:27:00,0.5522,0.4478,0.5433,0.5611,0.0178,8771.11
2024-01-01T00:28:00,0.5514,0.4486,0.5398,0.5631,0.0232,10356.31
2024-01-01T00:29:00,0.5512,0.4488,0.5442,0.5582,0.014,10505.23
2024-01-01T00:30:00,0.5534,0.4466,0.5493,0.5576,0.0083,7623.56
2024-01-01T00:31:00,0.5514,0.4486,0.5487,0.5541,0.0054,6885.38
2024-01-01T00:32:00,0.5518,0.4482,0.5428,0.5608,0.018,5814.99
2024-01-01T00:33:00,0.5468,0.4532,0.5431,0.5505,0.0074,10363.87
2024-01-01T00:34:00,0.5481,0.4519,0.5397,0.5565,0.0167,7916.92
2024-01-01T00:35:00,0.5509,0.4491,0.5435,0.5582,0.0147,8269.49
2024-01-01T00:36:00,0.5528,0.4472,0.542,0.5637,0.0217,6683.83
2024-01-01T00:37:00,0.5557,0.4443,0.5528,0.5587,0.0058,11021.41
2024-01-01T00:38:00,0.549,0.451,0.5413,0.5566,0.0153,9987.94
2024-01-01T00:39:00,0.5496,0.4504,0.5471,0.552,0.005,9816.12
2024-01-01T00:40:00,0.5444,0.4556,0.533,0.5558,0.0229,6254.59
2024-01-01T00:41:00,0.5466,0.4534,0.5361,0.557,0.0209,8923.46
2024-01-01T00:42:00,0.5481,0.4519,0.5457,0.5505,0.0048,10848.58
2024-01-01T00:43:00,0.5471,0.4529,0.5442,0.5501,0.0059,8940.72
2024-01-01T00:44:00,0.549,0.451,0.5422,0.5558,0.0136,6368.26
2024-01-01T00:45:00,0.5513,0.4487,0.5479,0.5548,0.0068,8121.93
2024-01-01T00:46:00,0.5475,0.4525,0.5417,0.5533,0.0116,10094.62
2024-01-01T00:47:00,0.547,0.453,0.536,0.5579,0.022,10913.95
2024-01-01T00:48:00,0.5478,0.4522,0.54,0.5555,0.0155,8097.46
2024-01-01T00:49:00,0.5469,0.4531,0.5355,0.5583,0.0228,10873.5
2024-01-01T00:50:00,0.5459,0.4541,0.5397,0.5521,0.0124,11046.69
2024-01-01T00:51:00,0.5473,0.4527,0.5415,0.5531,0.0116,8289.76
2024-01-01T00:52:00,0.5511,0.4489,0.5458,0.5565,0.0107,8633.85
2024-01-01T00:53:00,0.5501,0.4499,0.5404,0.5599,0.0196,5002.41
2024-01-01T00:54:00,0.5491,0.4509,0.5403,0.558,0.0177,7755.17
2024-01-01T00:55:00,0.5468,0.4532,0.537,0.5566,0.0196,5744.95
2024-01-01T00:56:00,0.5462,0.4538,0.5424,0.5501,0.0077,9434.81
2024-01-01T00:57:00,0.5477,0.4523,0.5387,0.5566,0.0179,5462.24
2024-01-01T00:58:00,0.5508,0.4492,0.5462,0.5553,0.009,9962.04
2024-01-01T00:59:00,0.5523,0.4477,0.5428,0.5617,0.0189,9746.79
2024-01-01T01:00:00,0.5534,0.4466,0.548,0.5588,0.0108,7959.65
2024-01-01T01:01:00,0.5504,0.4496,0.5418,0.5589,0.0171,9427.43
2024-01-01T01:02:00,0.5523,0.4477,0.5467,0.558,0.0113,6027.36
2024-01-01T01:03:00,0.5527,0.4473,0.5487,0.5567,0.008,5552.34
2024-01-01T01:04:00,0.5492,0.4508,0.541,0.5575,0.0164,8875.53
2024-01-01T01:05:00,0.5441,0.4559,0.5361,0.5521,0.016,9271.23
2024-01-01T01:06:00,0.5466,0.4534,0.5378,0.5555,0.0177,6294.66
2024-01-01T01:07:00,0.5474,0.4526,0.5396,0.5551,0.0155,7731.15
2024-01-01T01:08:00,0.5464,0.4536,0.5405,0.5522,0.0116,7725.73
2024-01-01T01:09:00,0.548,0.452,0.5427,0.5532,0.0106,7330.3
2024-01-01T01:10:00,0.5483,0.4517,0.5452,0.5514,0.0062,10943.31
2024-01-01T01:11:00,0.5508,0.4492,0.5453,0.5564,0.0111,5339.64
2024-01-01T01:12:00,0.5493,0.4507,0.544,0.5546,0.0106,5723.29
2024-01-01T01:13:00,0.5532,0.4468,0.5447,0.5617,0.017,6078.62
2024-01-01T01:14:00,0.5496,0.4504,0.5437,0.5556,0.0119,6746.69
2024-01-01T01:15:00,0.5522,0.4478,0.5437,0.5608,0.0171,7550.7
2024-01-01T01:16:00,0.5482,0.4518,0.5447,0.5518,0.0071,10407.32
2024-01-01T01:17:00,0.5514,0.4486,0.547,0.5557,0.0087,10852.59
2024-01-01T01:18:00,0.5473,0.4527,0.537,0.5576,0.0205,9494.3
2024-01-01T01:19:00,0.5482,0.4518,0.5399,0.5564,0.0165,6121.74
2024-01-01T01:20:00,0.5502,0.4498,0.5455,0.555,0.0095,6228.15
2024-01-01T01:21:00,0.547,0.453,0.5373,0.5566,0.0192,7031.9
2024-01-01T01:22:00,0.5478,0.4522,0.5433,0.5522,0.0089,9344.65
2024-01-01T01:23:00,0.5496,0.4504,0.5434,0.5559,0.0124,10431.84
2024-01-01T01:24:00,0.5509,0.4491,0.5446,0.5573,0.0128,8994.46
2024-01-01T01:25:00,0.5485,0.4515,0.5393,0.5576,0.0183,6160.57
2024-01-01T01:26:00,0.5488,0.4512,0.5462,0.5515,0.0053,5682.66
2024-01-01T01:27:00,0.5488,0.4512,0.5411,0.5565,0.0154,8895.28
2024-01-01T01:28:00,0.5488,0.4512,0.5413,0.5564,0.0151,8571.51
2024-01-01T01:29:00,0.5517,0.4483,0.5469,0.5566,0.0097,5325.2
2024-01-01T01:30:00,0.5545,0.4455,0.5488,0.5602,0.0114,10748.3
2024-01-01T01:31:00,0.5513,0.4487,0.5457,0.557,0.0113,5903.49
2024-01-01T01:32:00,0.555,0.445,0.5487,0.5614,0.0127,7916.02
2024-01-01T01:33:00,0.5489,0.4511,0.5424,0.5554,0.0129,9531.33
2024-01-01T01:34:00,0.552,0.448,0.546,0.5579,0.0119,8413.59
2024-01-01T01:35:00,0.5483,0.4517,0.5392,0.5573,0.0181,10758.75
2024-01-01T01:36:00,0.548,0.452,0.5362,0.5598,0.0236,4980.02
2024-01-01T01:37:00,0.5496,0.4504,0.5386,0.5605,0.0218,9637.73
2024-01-01T01:38:00,0.5526,0.4474,0.5422,0.563,0.0208,6391.16
2024-01-01T01:39:00,0.55,0.45,0.5386,0.5615,0.0228,5411.68
2024-01-01T01:40:00,0.5518,0.4482,0.5449,0.5586,0.0137,7701.5
2024-01-01T01:41:00,0.554,0.446,0.5472,0.5608,0.0136,9301.85
2024-01-01T01:42:00,0.5531,0.4469,0.5495,0.5568,0.0073,6148.43
2024-01-01T01:43:00,0.5538,0.4462,0.549,0.5586,0.0095,11320.83
2024-01-01T01:44:00,0.5529,0.4471,0.5486,0.5572,0.0086,8354.59
2024-01-01T01:45:00,0.5505,0.4495,0.5401,0.5608,0.0207,6669.51
2024-01-01T01:46:00,0.5504,0.4496,0.5404,0.5605,0.0201,9119.66
2024-01-01T01:47:00,0.5504,0.4496,0.5401,0.5607,0.0206,9299.32
2024-01-01T01:48:00,0.5493,0.4507,0.5416,0.557,0.0154,7487.71
2024-01-01T01:49:00,0.5487,0.4513,0.5458,0.5517,0.0059,9905.15
2024-01-01T01:50:00,0.549,0.451,0.5416,0.5564,0.0148,5368.64
2024-01-01T01:51:00,0.5521,0.4479,0.5409,0.5632,0.0223,5123.21
2024-01-01T01:52:00,0.5508,0.4492,0.543,0.5585,0.0154,8138.85
2024-01-01T01:53:00,0.5508,0.4492,0.5465,0.5551,0.0086,7050.84
2024-01-01T01:54:00,0.5517,0.4483,0.5436,0.5598,0.0162,5780.44
2024-01-01T01:55:00,0.5524,0.4476,0.5469,0.5579,0.011,5131.19
2024-01-01T01:56:00,0.5513,0.4487,0.5456,0.5569,0.0113,7661.65
2024-01-01T01:57:00,0.5495,0.4505,0.5422,0.5567,0.0145,7955.3
2024-01-01T01:58:00,0.551,0.449,0.543,0.559,0.016,7215.13
2024-01-01T01:59:00,0.5496,0.4504,0.546,0.5532,0.0073,5013.51
2024-01-01T02:00:00,0.5506,0.4494,0.545,0.5562,0.0113,9313.02
2024-01-01T02:01:00,0.551,0.449,0.544,0.5581,0.0142,10737.33
2024-01-01T02:02:00,0.5502,0.4498,0.5437,0.5567,0.0129,5798.99
2024-01-01T02:03:00,0.5536,0.4464,0.5499,0.5573,0.0074,9484.68
2024-01-01T02:04:00,0.5504,0.4496,0.5443,0.5564,0.0121,10156.04
2024-01-01T02:05:00,0.5481,0.4519,0.5447,0.5515,0.0068,10639.31
2024-01-01T02:06:00,0.5418,0.4582,0.5334,0.5501,0.0166,5318.1
2024-01-01T02:07:00,0.546,0.454,0.5418,0.5502,0.0083,5244.94
2024-01-01T02:08:00,0.5447,0.4553,0.5387,0.5508,0.012,8258.6
2024-01-01T02:09:00,0.548,0.452,0.5448,0.5512,0.0064,7768.34
2024-01-01T02:10:00,0.5524,0.4476,0.5474,0.5574,0.0101,5684.91
2024-01-01T02:11:00,0.5513,0.4487,0.5441,0.5585,0.0144,5937.53
2024-01-01T02:12:00,0.5494,0.4506,0.5379,0.5608,0.0229,8772.98
2024-01-01T02:13:00,0.5531,0.4469,0.5479,0.5582,0.0103,9880.62
2024-01-01T02:14:00,0.547,0.453,0.5381,0.556,0.0178,5613.02
2024-01-01T02:15:00,0.5491,0.4509,0.543,0.5552,0.0122,10005.12
2024-01-01T02:16:00,0.5488,0.4512,0.5412,0.5564,0.0152,7374.6
2024-01-01T02:17:00,0.5487,0.4513,0.543,0.5544,0.0114,10613.14
2024-01-01T02:18:00,0.5513,0.4487,0.5437,0.5588,0.0151,6802.83
2024-01-01T02:19:00,0.5484,0.4516,0.5435,0.5533,0.0098,10224.04
2024-01-01T02:20:00,0.5492,0.4508,0.544,0.5545,0.0105,5150.05
2024-01-01T02:21:00,0.5487,0.4513,0.5436,0.5539,0.0103,10894.04
2024-01-01T02:22:00,0.5495,0.4505,0.5416,0.5575,0.0159,5276.98
2024-01-01T02:23:00,0.55,0.45,0.5433,0.5567,0.0135,7473.91
2024-01-01T02:24:00,0.5504,0.4496,0.5472,0.5536,0.0064,5847.96
2024-01-01T02:25:00,0.5529,0.4471,0.5435,0.5623,0.0188,9006.2
2024-01-01T02:26:00,0.5543,0.4457,0.5501,0.5584,0.0082,11249.61
2024-01-01T02:27:00,0.5527,0.4473,0.5493,0.5561,0.0068,8072.95
2024-01-01T02:28:00,0.5555,0.4445,0.55,0.5609,0.0109,6653.68
2024-01-01T02:29:00,0.5534,0.4466,0.5472,0.5597,0.0125,5239.93
2024-01-01T02:30:00,0.5495,0.4505,0.5425,0.5565,0.014,6467.7
2024-01-01T02:31:00,0.5453,0.4547,0.542,0.5486,0.0066,7752.17
2024-01-01T02:32:00,0.5525,0.4475,0.55,0.5551,0.0051,6293.51
2024-01-01T02:33:00,0.5491,0.4509,0.5379,0.5604,0.0226,6133.67
2024-01-01T02:34:00,0.5473,0.4527,0.5403,0.5543,0.0139,5726.43
2024-01-01T02:35:00,0.5486,0.4514,0.5416,0.5556,0.0141,8596.98
2024-01-01T02:36:00,0.5492,0.4508,0.5464,0.552,0.0056,9316.02
2024-01-01T02:37:00,0.5488,0.4512,0.5443,0.5532,0.0089,5785.09
2024-01-01T02:38:00,0.551,0.449,0.5424,0.5597,0.0173,8247.93
2024-01-01T02:39:00,0.5511,0.4489,0.5445,0.5577,0.0132,10337.44
2024-01-01T02:40:00,0.5498,0.4502,0.5464,0.5533,0.0069,8099.93
2024-01-01T02:41:00,0.5467,0.4533,0.5386,0.5548,0.0162,6875.27
2024-01-01T02:42:00,0.5456,0.4544,0.5426,0.5487,0.0061,5992.95
2024-01-01T02:43:00,0.5469,0.4531,0.5434,0.5504,0.007,7498.51
2024-01-01T02:44:00,0.5444,0.4556,0.5359,0.5529,0.0169,6118.15
2024-01-01T02:45:00,0.5456,0.4544,0.5382,0.5529,0.0146,11484.75
2024-01-01T02:46:00,0.5508,0.4492,0.5439,0.5578,0.0139,7105.91
2024-01-01T02:47:00,0.55,0.45,0.5389,0.5612,0.0223,10670.84
2024-01-01T02:48:00,0.55,0.45,0.5457,0.5542,0.0086,9086.15
2024-01-01T02:49:00,0.5556,0.4444,0.5523,0.5588,0.0065,7503.99
