timestamp,yes_price,no_price,best_bid,best_ask,spread,volume_24h
2024-01-01T00:00:00,0.5793,0.4207,0.5705,0.5881,0.0175,7529.6
2024-01-01T00:00:30,0.5749,0.4251,0.5671,0.5827,0.0156,10170.37
2024-01-01T00:01:00,0.5814,0.4186,0.5699,0.5928,0.0229,7204.66
2024-01-01T00:01:30,0.5814,0.4186,0.574,0.5888,0.0149,10027.01
2024-01-01T00:02:00,0.5824,0.4176,0.5743,0.5905,0.0162,6546.96
2024-01-01T00:02:30,0.5803,0.4197,0.5778,0.5828,0.005,8957.64
2024-01-01T00:03:00,0.5816,0.4184,0.5749,0.5884,0.0135,5419.66
2024-01-01T00:03:30,0.5814,0.4186,0.5774,0.5854,0.008,10125.29
2024-01-01T00:04:00,0.582,0.418,0.5782,0.5858,0.0076,10270.21
2024-01-01T00:04:30,0.5847,0.4153,0.5798,0.5897,0.0099,5637.47
2024-01-01T00:05:00,0.5806,0.4194,0.5765,0.5847,0.0082,7135.2
2024-01-01T00:05:30,0.5834,0.4166,0.5762,0.5906,0.0144,9144.48
2024-01-01T00:06:00,0.5817,0.4183,0.5703,0.5931,0.0228,5755.89
2024-01-01T00:06:30,0.5804,0.4196,0.5712,0.5897,0.0185,8717.88
2024-01-01T00:07:00,0.5826,0.4174,0.5739,0.5912,0.0173,4939.46
2024-01-01T00:07:30,0.5818,0.4182,0.5787,0.5849,0.0062,5247.33
2024-01-01T00:08:00,0.5811,0.4189,0.573,0.5892,0.0161,6527.2
2024-01-01T00:08:30,0.5842,0.4158,0.5791,0.5893,0.0102,8663.39
2024-01-01T00:09:00,0.5831,0.4169,0.5781,0.5881,0.01,7278.15
2024-01-01T00:09:30,0.5822,0.4178,0.5732,0.5913,0.018,8503.52
2024-01-01T00:10:00,0.5855,0.4145,0.5759,0.5951,0.0191,9475.13
2024-01-01T00:10:30,0.5819,0.4181,0.5717,0.592,0.0203,6677.87
2024-01-01T00:11:00,0.5812,0.4188,0.5784,0.584,0.0056,10776.23
2024-01-01T00:11:30,0.5746,0.4254,0.5667,0.5824,0.0157,7605.6
2024-01-01T00:12:00,0.578,0.422,0.5715,0.5845,0.013,6707.82
2024-01-01T00:12:30,0.58,0.42,0.5763,0.5837,0.0074,9329.07
2024-01-01T00:13:00,0.5818,0.4182,0.5742,0.5894,0.0152,7852.57
2024-01-01T00:13:30,0.5803,0.4197,0.5738,0.5869,0.0131,7072.67
2024-01-01T00:14:00,0.5832,0.4168,0.5798,0.5867,0.0069,8002.08
2024-01-01T00:14:30,0.5791,0.4209,0.5729,0.5852,0.0123,5332.63
2024-01-01T00:15:00,0.5817,0.4183,0.5702,0.5933,0.0231,4934.42
2024-01-01T00:15:30,0.5793,0.4207,0.5729,0.5857,0.0128,5399.03
2024-01-01T00:16:00,0.5791,0.4209,0.5705,0.5877,0.0172,10820.46
2024-01-01T00:16:30,0.5774,0.4226,0.5702,0.5847,0.0146,7825.15
2024-01-01T00:17:00,0.5773,0.4227,0.5698,0.5848,0.015,4886.78
2024-01-01T00:17:30,0.577,0.423,0.5691,0.585,0.0159,10295.67
2024-01-01T00:18:00,0.5796,0.4204,0.576,0.5831,0.0071,4671.4
2024-01-01T00:18:30,0.5795,0.4205,0.5732,0.5859,0.0127,6328.79
2024-01-01T00:19:00,0.5788,0.4212,0.5731,0.5845,0.0114,8135.16
2024-01-01T00:19:30,0.5812,0.4188,0.5735,0.589,0.0155,7145.0
2024-01-01T00:20:00,0.581,0.419,0.5704,0.5917,0.0213,6495.83
2024-01-01T00:20:30,0.5802,0.4198,0.5729,0.5874,0.0145,7778.41
2024-01-01T00:21:00,0.5748,0.4252,0.5634,0.5861,0.0227,10190.88
2024-01-01T00:21:30,0.581,0.419,0.5779,0.5841,0.0062,4931.05
2024-01-01T00:22:00,0.5807,0.4193,0.5778,0.5837,0.0059,7673.03
2024-01-01T00:22:30,0.5813,0.4187,0.5769,0.5857,0.0087,8804.57
2024-01-01T00:23:00,0.5823,0.4177,0.5789,0.5857,0.0068,6744.13
2024-01-01T00:23:30,0.5836,0.4164,0.5803,0.5869,0.0065,7934.26
2024-01-01T00:24:00,0.5805,0.4195,0.5757,0.5853,0.0096,6838.65
2024-01-01T00:24:30,0.5814,0.4186,0.5699,0.5928,0.0229,9693.82
2024-01-01T00:25:00,0.5843,0.4157,0.5794,0.5893,0.0099,7991.41
2024-01-01T00:25:30,0.5842,0.4158,0.5802,0.5882,0.008,7491.04
2024-01-01T00:26:00,0.5805,0.4195,0.5711,0.5898,0.0188,10710.53
2024-01-01T00:26:30,0.5809,0.4191,0.5753,0.5866,0.0113,10097.83
2024-01-01T00:27:00,0.5821,0.4179,0.5765,0.5876,0.011,7499.73
2024-01-01T00:27:30,0.5828,0.4172,0.5745,0.591,0.0166,7360.73
2024-01-01T00:28:00,0.5802,0.4198,0.5746,0.5858,0.0112,5161.57
2024-01-01T00:28:30,0.5853,0.4147,0.5755,0.5951,0.0196,8867.36
2024-01-01T00:29:00,0.581,0.419,0.575,0.5869,0.0119,8773.15
2024-01-01T00:29:30,0.5798,0.4202,0.5722,0.5873,0.0151,10399.45
2024-01-01T00:30:00,0.5789,0.4211,0.5732,0.5845,0.0113,9839.36
2024-01-01T00:30:30,0.5762,0.4238,0.5676,0.5848,0.0172,5681.69
2024-01-01T00:31:00,0.5819,0.4181,0.5789,0.585,0.0061,9900.83
2024-01-01T00:31:30,0.5798,0.4202,0.5762,0.5835,0.0073,5538.31
2024-01-01T00:32:00,0.5831,0.4169,0.574,0.5922,0.0181,7544.85
2024-01-01T00:32:30,0.5755,0.4245,0.5714,0.5797,0.0083,6891.29
2024-01-01T00:33:00,0.5758,0.4242,0.5648,0.5867,0.0219,7679.15
2024-01-01T00:33:30,0.5801,0.4199,0.5695,0.5907,0.0212,5806.25
2024-01-01T00:34:00,0.5794,0.4206,0.5735,0.5854,0.0119,10319.71
2024-01-01T00:34:30,0.5821,0.4179,0.5728,0.5914,0.0186,9248.61
2024-01-01T00:35:00,0.5803,0.4197,0.5717,0.5889,0.0172,6892.05
2024-01-01T00:35:30,0.5751,0.4249,0.5673,0.5828,0.0155,10581.41
2024-01-01T00:36:00,0.5768,0.4232,0.5718,0.5817,0.0099,5255.6
2024-01-01T00:36:30,0.5824,0.4176,0.5774,0.5874,0.0101,7029.3
2024-01-01T00:37:00,0.5793,0.4207,0.5704,0.5883,0.0179,5149.1
2024-01-01T00:37:30,0.5804,0.4196,0.5768,0.5841,0.0074,9423.72
2024-01-01T00:38:00,0.5825,0.4175,0.5711,0.594,0.0229,10639.49
2024-01-01T00:38:30,0.5809,0.4191,0.57,0.5918,0.0219,10288.49
2024-01-01T00:39:00,0.58,0.42,0.5752,0.5848,0.0096,6251.96
2024-01-01T00:39:30,0.5806,0.4194,0.5716,0.5896,0.018,10711.46
2024-01-01T00:40:00,0.5817,0.4183,0.5723,0.5911,0.0188,7542.58
2024-01-01T00:40:30,0.5829,0.4171,0.575,0.5907,0.0156,9347.57
2024-01-01T00:41:00,0.5802,0.4198,0.5687,0.5917,0.023,7297.89
