timestamp,yes_price,no_price,best_bid,best_ask,spread,volume_24h
2024-01-01T00:00:00,0.5474,0.4526,0.5431,0.5516,0.0085,7136.02
2024-01-01T00:00:30,0.547,0.453,0.5443,0.5497,0.0054,10556.09
2024-01-01T00:01:00,0.5494,0.4506,0.5403,0.5585,0.0182,9854.56
2024-01-01T00:01:30,0.5466,0.4534,0.5391,0.554,0.0149,7460.47
2024-01-01T00:02:00,0.5561,0.4439,0.5532,0.5591,0.0059,5788.61
2024-01-01T00:02:30,0.5478,0.4522,0.5385,0.5571,0.0186,10152.56
2024-01-01T00:03:00,0.5492,0.4508,0.5443,0.5541,0.0098,9909.5
2024-01-01T00:03:30,0.5511,0.4489,0.5418,0.5604,0.0186,7192.82
2024-01-01T00:04:00,0.5521,0.4479,0.5407,0.5636,0.0229,10488.11
2024-01-01T00:04:30,0.5479,0.4521,0.5409,0.555,0.0141,5839.72
2024-01-01T00:05:00,0.5496,0.4504,0.5382,0.561,0.0228,9753.51
2024-01-01T00:05:30,0.5514,0.4486,0.5452,0.5577,0.0125,5501.6
2024-01-01T00:06:00,0.5518,0.4482,0.5436,0.56,0.0164,8543.37
2024-01-01T00:06:30,0.5467,0.4533,0.5439,0.5495,0.0056,8563.84
2024-01-01T00:07:00,0.5463,0.4537,0.5387,0.5539,0.0152,4997.15
2024-01-01T00:07:30,0.5523,0.4477,0.5496,0.555,0.0054,6163.14
2024-01-01T00:08:00,0.5514,0.4486,0.5437,0.5592,0.0156,9838.23
2024-01-01T00:08:30,0.5515,0.4485,0.5448,0.5583,0.0135,9958.04
2024-01-01T00:09:00,0.5519,0.4481,0.5489,0.5548,0.0058,7003.74
2024-01-01T00:09:30,0.5482,0.4518,0.5388,0.5575,0.0187,5853.71
2024-01-01T00:10:00,0.552,0.448,0.5429,0.5612,0.0183,8625.71
2024-01-01T00:10:30,0.5457,0.4543,0.5385,0.5529,0.0144,4972.05
2024-01-01T00:11:00,0.5419,0.4581,0.5341,0.5497,0.0157,5044.22
2024-01-01T00:11:30,0.5498,0.4502,0.5418,0.5579,0.0161,9669.71
2024-01-01T00:12:00,0.5485,0.4515,0.5378,0.5593,0.0215,5256.14
2024-01-01T00:12:30,0.5478,0.4522,0.542,0.5536,0.0116,6261.32
2024-01-01T00:13:00,0.5517,0.4483,0.5448,0.5587,0.014,10329.57
2024-01-01T00:13:30,0.551,0.449,0.545,0.557,0.0119,8249.26
2024-01-01T00:14:00,0.5521,0.4479,0.548,0.5563,0.0083,8373.38
2024-01-01T00:14:30,0.551,0.449,0.5406,0.5615,0.0209,9661.26
2024-01-01T00:15:00,0.5518,0.4482,0.5469,0.5566,0.0096,6442.78
2024-01-01T00:15:30,0.5504,0.4496,0.5447,0.5561,0.0114,7678.67
2024-01-01T00:16:00,0.5501,0.4499,0.5438,0.5565,0.0127,6409.16
2024-01-01T00:16:30,0.5469,0.4531,0.536,0.5578,0.0218,7078.93
2024-01-01T00:17:00,0.5474,0.4526,0.5437,0.5512,0.0075,8731.31
2024-01-01T00:17:30,0.5471,0.4529,0.5372,0.5571,0.0199,7467.74
2024-01-01T00:18:00,0.547,0.453,0.5397,0.5543,0.0146,8814.64
2024-01-01T00:18:30,0.5451,0.4549,0.5363,0.5539,0.0177,6623.39
2024-01-01T00:19:00,0.5441,0.4559,0.5403,0.5479,0.0076,6044.85
2024-01-01T00:19:30,0.5458,0.4542,0.5415,0.5502,0.0087,7869.3
2024-01-01T00:20:00,0.5477,0.4523,0.545,0.5505,0.0055,9861.52
2024-01-01T00:20:30,0.5466,0.4534,0.5363,0.5569,0.0206,8798.58
2024-01-01T00:21:00,0.5487,0.4513,0.5371,0.5604,0.0233,5174.04
2024-01-01T00:21:30,0.5465,0.4535,0.5359,0.557,0.0211,6775.82
2024-01-01T00:22:00,0.5474,0.4526,0.5361,0.5587,0.0226,11496.1
2024-01-01T00:22:30,0.5476,0.4524,0.536,0.5592,0.0232,10456.94
2024-01-01T00:23:00,0.551,0.449,0.5446,0.5574,0.0129,7151.13
2024-01-01T00:23:30,0.5496,0.4504,0.5417,0.5574,0.0156,9833.26
2024-01-01T00:24:00,0.5509,0.4491,0.544,0.5578,0.0138,7916.72
2024-01-01T00:24:30,0.5526,0.4474,0.5415,0.5638,0.0223,9265.15
2024-01-01T00:25:00,0.5543,0.4457,0.5473,0.5613,0.0139,10215.15
2024-01-01T00:25:30,0.5543,0.4457,0.5485,0.5602,0.0117,9555.06
2024-01-01T00:26:00,0.5538,0.4462,0.5455,0.562,0.0165,9455.81
2024-01-01T00:26:30,0.5502,0.4498,0.5451,0.5553,0.0102,8226.45
2024-01-01T00:27:00,0.5502,0.4498,0.5435,0.557,0.0135,6956.09
2024-01-01T00:27:30,0.5505,0.4495,0.5396,0.5615,0.0219,11347.42
2024-01-01T00:28:00,0.5506,0.4494,0.5461,0.5551,0.009,8588.17
2024-01-01T00:28:30,0.5536,0.4464,0.5492,0.5579,0.0088,10343.46
2024-01-01T00:29:00,0.5494,0.4506,0.5438,0.5549,0.0111,9792.88
2024-01-01T00:29:30,0.552,0.448,0.5408,0.5633,0.0224,10267.78
2024-01-01T00:30:00,0.551,0.449,0.5431,0.5589,0.0158,9991.85
2024-01-01T00:30:30,0.5483,0.4517,0.5379,0.5587,0.0209,6581.36
2024-01-01T00:31:00,0.5495,0.4505,0.5389,0.5601,0.0212,8777.45
2024-01-01T00:31:30,0.5466,0.4534,0.5438,0.5493,0.0055,5846.72
2024-01-01T00:32:00,0.5479,0.4521,0.5444,0.5514,0.007,8889.96
2024-01-01T00:32:30,0.5493,0.4507,0.5418,0.5569,0.015,6571.55
2024-01-01T00:33:00,0.5512,0.4488,0.5417,0.5606,0.0189,6228.95
2024-01-01T00:33:30,0.553,0.447,0.5411,0.5648,0.0237,6864.81
2024-01-01T00:34:00,0.5534,0.4466,0.547,0.5598,0.0128,6364.39
2024-01-01T00:34:30,0.5519,0.4481,0.5405,0.5633,0.0227,10158.98
2024-01-01T00:35:00,0.5521,0.4479,0.548,0.5563,0.0083,6798.99
2024-01-01T00:35:30,0.5494,0.4506,0.5432,0.5556,0.0123,10678.3
2024-01-01T00:36:00,0.5516,0.4484,0.5455,0.5576,0.012,9249.6
2024-01-01T00:36:30,0.5473,0.4527,0.5435,0.5511,0.0076,8341.86
2024-01-01T00:37:00,0.5505,0.4495,0.5392,0.5618,0.0225,9202.53
2024-01-01T00:37:30,0.5446,0.4554,0.5335,0.5557,0.0222,8881.21
2024-01-01T00:38:00,0.5466,0.4534,0.5393,0.554,0.0147,6135.78
2024-01-01T00:38:30,0.5429,0.4571,0.5344,0.5513,0.017,8916.97
2024-01-01T00:39:00,0.5493,0.4507,0.5378,0.5608,0.023,10491.5
2024-01-01T00:39:30,0.5502,0.4498,0.5407,0.5596,0.019,6652.55
2024-01-01T00:40:00,0.5495,0.4505,0.5392,0.5598,0.0206,7888.97
2024-01-01T00:40:30,0.553,0.447,0.5504,0.5556,0.0051,7755.54
2024-01-01T00:41:00,0.5483,0.4517,0.5439,0.5527,0.0088,9227.91
2024-01-01T00:41:30,0.5547,0.4453,0.5522,0.5571,0.005,6637.7
2024-01-01T00:42:00,0.5506,0.4494,0.5431,0.558,0.0149,9422.7
2024-01-01T00:42:30,0.5523,0.4477,0.545,0.5596,0.0146,9250.2
2024-01-01T00:43:00,0.5513,0.4487,0.5449,0.5576,0.0126,8997.28
2024-01-01T00:43:30,0.5489,0.4511,0.5377,0.56,0.0223,10887.92
2024-01-01T00:44:00,0.5502,0.4498,0.5415,0.5589,0.0173,11068.88
2024-01-01T00:44:30,0.5484,0.4516,0.5391,0.5576,0.0186,6079.29
2024-01-01T00:45:00,0.5487,0.4513,0.5403,0.5571,0.0168,10850.64
2024-01-01T00:45:30,0.5469,0.4531,0.5356,0.5583,0.0228,9853.46
2024-01-01T00:46:00,0.5509,0.4491,0.5428,0.5589,0.0161,9414.35
2024-01-01T00:46:30,0.5473,0.4527,0.542,0.5526,0.0106,7333.17
2024-01-01T00:47:00,0.5515,0.4485,0.5426,0.5604,0.0178,5547.25
2024-01-01T00:47:30,0.5503,0.4497,0.5466,0.5541,0.0075,10710.73
2024-01-01T00:48:00,0.5532,0.4468,0.5501,0.5563,0.0063,8732.96
2024-01-01T00:48:30,0.5506,0.4494,0.5443,0.5569,0.0126,11333.4
2024-01-01T00:49:00,0.5487,0.4513,0.5455,0.552,0.0065,11033.2
2024-01-01T00:49:30,0.5507,0.4493,0.5469,0.5545,0.0076,9770.21
2024-01-01T00:50:00,0.5507,0.4493,0.5441,0.5572,0.0132,7576.32
2024-01-01T00:50:30,0.5481,0.4519,0.5398,0.5565,0.0167,11480.99
2024-01-01T00:51:00,0.5485,0.4515,0.5437,0.5534,0.0097,6998.2
2024-01-01T00:51:30,0.5501,0.4499,0.5432,0.5569,0.0137,5114.35
2024-01-01T00:52:00,0.5532,0.4468,0.5418,0.5645,0.0227,8816.82
2024-01-01T00:52:30,0.5528,0.4472,0.5431,0.5626,0.0196,5823.79
2024-01-01T00:53:00,0.5531,0.4469,0.5492,0.5569,0.0077,8318.39
2024-01-01T00:53:30,0.5469,0.4531,0.5395,0.5544,0.0149,7191.8
2024-01-01T00:54:00,0.55,0.45,0.544,0.556,0.0121,6347.69
2024-01-01T00:54:30,0.5499,0.4501,0.5382,0.5617,0.0235,8123.88
2024-01-01T00:55:00,0.5497,0.4503,0.5414,0.558,0.0167,10609.72
2024-01-01T00:55:30,0.5517,0.4483,0.5464,0.5569,0.0105,7807.86
2024-01-01T00:56:00,0.547,0.453,0.5418,0.5521,0.0102,5150.16
2024-01-01T00:56:30,0.546,0.454,0.5369,0.5551,0.0182,10354.04
2024-01-01T00:57:00,0.5494,0.4506,0.5413,0.5576,0.0163,6427.63
2024-01-01T00:57:30,0.55,0.45,0.5421,0.558,0.0159,10673.78
2024-01-01T00:58:00,0.5483,0.4517,0.5397,0.5569,0.0172,10437.05
2024-01-01T00:58:30,0.5537,0.4463,0.5419,0.5656,0.0237,10581.93
2024-01-01T00:59:00,0.5513,0.4487,0.5466,0.556,0.0093,8136.09
2024-01-01T00:59:30,0.5477,0.4523,0.5444,0.5509,0.0065,9603.74
2024-01-01T01:00:00,0.5504,0.4496,0.5475,0.5534,0.0059,5077.51
2024-01-01T01:00:30,0.5484,0.4516,0.5412,0.5556,0.0145,7449.15
2024-01-01T01:01:00,0.5495,0.4505,0.5442,0.5547,0.0105,11012.6
2024-01-01T01:01:30,0.5484,0.4516,0.5379,0.5589,0.021,6832.04
