threshold,stop_loss_pct,target_price,required_ticks,position_size_usdc,sharpe_ratio,win_rate,profit_factor,total_pnl,max_drawdown,total_trades
0.65,0.2,0.95,3,5,-0.3255,0.2273,0.7816,-0.4126,0.0018,22
0.65,0.2,0.95,3,10,-0.3255,0.2273,0.7816,-0.8253,0.0035,22
0.65,0.2,0.95,2,5,-0.3829,0.2222,0.7571,-0.5116,0.0021,27
0.65,0.2,0.95,2,10,-0.3829,0.2222,0.7571,-1.0232,0.0043,27
0.7,0.15,0.95,3,5,-0.4673,0.25,0.7456,-0.6553,0.002,24
0.7,0.15,0.95,3,10,-0.4673,0.25,0.7456,-1.3105,0.004,24
0.75,0.15,0.95,3,5,-0.4953,0.2609,0.7292,-0.5215,0.0022,23
0.75,0.15,0.95,3,10,-0.4953,0.2609,0.7292,-1.0429,0.0044,23
0.65,0.15,0.95,3,5,-0.5102,0.24,0.7248,-1.018,0.002,25
0.65,0.15,0.95,3,10,-0.5102,0.24,0.7248,-2.0361,0.004,25
0.75,0.2,0.95,3,5,-0.5117,0.2381,0.6815,-0.5124,0.0022,21
0.75,0.2,0.95,3,10,-0.5117,0.2381,0.6815,-1.0248,0.0043,21
0.65,0.1,0.95,2,5,-0.5174,0.25,0.7489,-0.8296,0.0025,32
0.65,0.1,0.95,2,10,-0.5174,0.25,0.7489,-1.6593,0.005,32
0.65,0.15,0.95,2,5,-0.5258,0.2069,0.7011,-0.8879,0.0023,29
0.65,0.15,0.95,2,10,-0.5258,0.2069,0.7011,-1.7758,0.0045,29
0.7,0.2,0.95,3,5,-0.6286,0.2273,0.6348,-1.0612,0.0018,22
0.7,0.2,0.95,3,10,-0.6286,0.2273,0.6348,-2.1225,0.0035,22
0.7,0.2,0.95,2,5,-0.6471,0.2222,0.6373,-1.0987,0.0021,27
0.7,0.2,0.95,2,10,-0.6471,0.2222,0.6373,-2.1975,0.0043,27
0.65,0.1,0.95,3,5,-0.7176,0.25,0.6694,-1.5014,0.0028,28
0.65,0.1,0.95,3,10,-0.7176,0.25,0.6694,-3.0027,0.0057,28
0.8,0.15,0.95,3,5,-0.7578,0.2727,0.6091,-0.8901,0.0019,22
0.8,0.15,0.95,3,10,-0.7578,0.2727,0.6091,-1.7801,0.0038,22
0.7,0.1,0.95,2,5,-0.8113,0.25,0.6525,-1.4783,0.0025,32
0.7,0.1,0.95,2,10,-0.8113,0.25,0.6525,-2.9565,0.005,32
0.7,0.15,0.95,2,5,-0.8274,0.2069,0.5875,-1.5218,0.0023,29
0.7,0.15,0.95,2,10,-0.8274,0.2069,0.5875,-3.0435,0.0045,29
0.7,0.1,0.95,3,5,-0.832,0.2593,0.6366,-1.4996,0.0028,27
0.7,0.1,0.95,3,10,-0.832,0.2593,0.6366,-2.9992,0.0057,27
0.78,0.15,0.95,3,5,-0.914,0.2609,0.5622,-1.1997,0.0022,23
0.78,0.15,0.95,3,10,-0.914,0.2609,0.5622,-2.3995,0.0044,23
0.78,0.2,0.95,3,5,-0.9947,0.2381,0.4738,-1.1907,0.0021,21
0.78,0.2,0.95,3,10,-0.9947,0.2381,0.4738,-2.3813,0.0043,21
0.75,0.1,0.95,3,5,-1.0225,0.2692,0.5781,-1.6,0.0034,26
0.75,0.1,0.95,3,10,-1.0225,0.2692,0.5781,-3.1999,0.0067,26
0.78,0.2,0.95,2,5,-1.0241,0.2308,0.49,-1.257,0.0026,26
0.78,0.2,0.95,2,10,-1.0241,0.2308,0.49,-2.5141,0.0052,26
0.8,0.2,0.95,3,5,-1.0266,0.2381,0.4634,-1.2247,0.0022,21
0.8,0.2,0.95,3,10,-1.0266,0.2381,0.4634,-2.4493,0.0044,21
0.78,0.15,0.95,2,5,-1.0734,0.2222,0.4997,-1.1593,0.0025,27
0.78,0.15,0.95,2,10,-1.0734,0.2222,0.4997,-2.3185,0.0051,27
0.78,0.1,0.95,2,5,-1.1554,0.2667,0.5546,-1.5881,0.0031,30
0.78,0.1,0.95,2,10,-1.1554,0.2667,0.5546,-3.1762,0.0062,30
0.8,0.15,0.95,2,5,-1.1576,0.2308,0.459,-1.209,0.0023,26
0.8,0.15,0.95,2,10,-1.1576,0.2308,0.459,-2.418,0.0046,26
0.75,0.15,0.95,2,5,-1.1822,0.2143,0.4688,-1.7749,0.0025,28
0.75,0.15,0.95,2,10,-1.1822,0.2143,0.4688,-3.5499,0.0049,28
0.75,0.2,0.95,2,5,-1.1877,0.2222,0.4445,-2.055,0.0027,27
0.75,0.2,0.95,2,10,-1.1877,0.2222,0.4445,-4.1101,0.0054,27
