threshold,stop_loss_pct,target_price,sharpe_ratio,win_rate,profit_factor,total_pnl,max_drawdown,total_trades
0.75,0.2,0.95,0.0,0.0,0.0,-1.0856,0.0011,1
0.75,0.2,0.95,0.0,0.0,0.0,-2.1712,0.0022,1
0.8,0.15,0.95,0.0,0.0,0.0,-0.8626,0.0009,1
0.8,0.15,0.95,0.0,0.0,0.0,-1.7252,0.0018,1
0.8,0.2,0.95,0.0,0.0,0.0,-1.087,0.0011,1
0.8,0.2,0.95,0.0,0.0,0.0,-2.1739,0.0022,1
0.8,0.2,0.95,0.0,0.0,0.0,-1.2366,0.0013,1
0.8,0.2,0.95,0.0,0.0,0.0,-2.4731,0.0025,1
0.75,0.2,0.9,-0.0603,0.5,0.9182,-0.0463,0.0012,2
0.75,0.2,0.9,-0.0603,0.5,0.9182,-0.0925,0.0023,2
0.7,0.15,0.9,-0.144,0.3333,0.8421,-0.1947,0.0009,3
0.7,0.15,0.9,-0.144,0.3333,0.8421,-0.3895,0.0018,3
0.65,0.15,0.9,-0.2864,0.25,0.735,-0.5957,0.0017,4
0.65,0.15,0.9,-0.2864,0.25,0.735,-1.1915,0.0034,4
0.65,0.2,0.9,-0.3227,0.3333,0.6872,-0.6532,0.0012,3
0.65,0.2,0.9,-0.3227,0.3333,0.6872,-1.3063,0.0023,3
0.65,0.1,0.9,-0.3702,0.2,0.6887,-0.7472,0.0021,5
0.65,0.1,0.9,-0.3702,0.2,0.6887,-1.4943,0.0042,5
0.7,0.2,0.9,-0.377,0.3333,0.6469,-0.7167,0.0011,3
0.7,0.2,0.9,-0.377,0.3333,0.6469,-1.4335,0.0023,3
0.75,0.15,0.9,-0.4109,0.3333,0.6232,-0.5521,0.0008,3
0.75,0.15,0.9,-0.4109,0.3333,0.6232,-1.1041,0.0017,3
0.7,0.2,0.9,-0.4176,0.3333,0.6186,-0.813,0.0012,3
0.7,0.2,0.9,-0.4176,0.3333,0.6186,-1.6259,0.0023,3
0.65,0.15,0.9,-0.4768,0.25,0.6101,-0.9221,0.0017,4
0.65,0.15,0.9,-0.4768,0.25,0.6101,-1.8443,0.0034,4
0.65,0.2,0.9,-0.5045,0.25,0.5943,-1.2173,0.0021,4
0.65,0.2,0.9,-0.5045,0.25,0.5943,-2.4347,0.0042,4
0.65,0.15,0.85,-0.5134,0.4,0.6515,-0.4716,0.001,15
0.65,0.15,0.85,-0.5134,0.4,0.6515,-0.9431,0.0019,15
0.7,0.15,0.9,-0.5836,0.25,0.5523,-1.0756,0.0017,4
0.7,0.15,0.9,-0.5836,0.25,0.5523,-2.1511,0.0034,4
0.75,0.2,0.85,-0.5841,0.4286,0.5694,-0.492,0.0014,14
0.75,0.2,0.85,-0.5841,0.4286,0.5694,-0.984,0.0027,14
0.8,0.15,0.9,-0.5948,0.5,0.4078,-0.4689,0.0009,2
