threshold,stop_loss_pct,target_price,required_ticks,position_size_usdc,sharpe_ratio,win_rate,profit_factor,total_pnl,max_drawdown,total_trades
0.65,0.2,0.95,3,5,-0.0764,0.0444,0.9436,0.8541,0.0027,45
0.65,0.2,0.95,3,10,-0.0764,0.0444,0.9436,1.7082,0.0053,45
0.65,0.1,0.95,3,5,-0.16,0.0426,0.8918,0.6194,0.0029,47
0.65,0.1,0.95,3,10,-0.16,0.0426,0.8918,1.2389,0.0057,47
0.65,0.15,0.95,3,5,-0.1925,0.0435,0.8696,0.4618,0.003,46
0.65,0.15,0.95,3,10,-0.1925,0.0435,0.8696,0.9236,0.006,46
0.65,0.2,0.95,2,5,-0.2982,0.0357,0.8107,0.298,0.0036,56
0.65,0.2,0.95,2,10,-0.2982,0.0357,0.8107,0.596,0.0072,56
0.65,0.1,0.95,2,5,-0.3596,0.0345,0.7863,0.1668,0.0036,58
0.65,0.1,0.95,2,10,-0.3596,0.0345,0.7863,0.3336,0.0072,58
0.65,0.15,0.95,2,5,-0.3809,0.0351,0.7724,0.033,0.0037,57
0.65,0.15,0.95,2,10,-0.3809,0.0351,0.7724,0.0659,0.0075,57
0.7,0.2,0.95,3,5,-0.446,0.0444,0.7306,-0.19,0.0031,45
0.7,0.2,0.95,3,10,-0.446,0.0444,0.7306,-0.38,0.0062,45
0.7,0.15,0.95,3,5,-0.5789,0.0435,0.6786,-0.541,0.0035,46
0.7,0.15,0.95,3,10,-0.5789,0.0435,0.6786,-1.0819,0.007,46
0.7,0.2,0.95,2,5,-0.7459,0.0357,0.6174,-0.8341,0.004,56
0.7,0.2,0.95,2,10,-0.7459,0.0357,0.6174,-1.6683,0.0081,56
0.7,0.1,0.95,3,5,-0.7511,0.0417,0.6243,-0.95,0.0039,48
0.7,0.1,0.95,3,10,-0.7511,0.0417,0.6243,-1.9001,0.0079,48
0.7,0.15,0.95,2,5,-0.8611,0.0351,0.5876,-1.1068,0.0043,57
0.7,0.15,0.95,2,10,-0.8611,0.0351,0.5876,-2.2135,0.0087,57
0.7,0.1,0.95,2,5,-1.0309,0.0339,0.5487,-1.4924,0.0048,59
0.7,0.1,0.95,2,10,-1.0309,0.0339,0.5487,-2.9848,0.0095,59
0.8,0.15,0.95,3,5,-1.2304,0.0455,0.4828,-0.7624,0.0027,44
