threshold,stop_loss_pct,target_price,sharpe_ratio,win_rate,profit_factor,total_pnl,max_drawdown,total_trades
0.65,0.15,0.95,-1.1204,0.2258,0.5321,-1.2247,0.0026,31
0.65,0.15,0.95,-1.1204,0.2258,0.5321,-2.4494,0.0052,31
0.7,0.15,0.95,-1.1204,0.2258,0.5321,-1.2247,0.0026,31
0.7,0.15,0.95,-1.1204,0.2258,0.5321,-2.4494,0.0052,31
0.75,0.15,0.95,-1.1204,0.2258,0.5321,-1.2247,0.0026,31
0.75,0.15,0.95,-1.1204,0.2258,0.5321,-2.4494,0.0052,31
0.65,0.2,0.95,-1.2173,0.2,0.4682,-1.413,0.0025,30
0.65,0.2,0.95,-1.2173,0.2,0.4682,-2.8259,0.005,30
0.7,0.2,0.95,-1.2173,0.2,0.4682,-1.413,0.0025,30
0.7,0.2,0.95,-1.2173,0.2,0.4682,-2.8259,0.005,30
0.65,0.1,0.95,-1.2708,0.2143,0.5177,-1.4333,0.003,42
0.65,0.1,0.95,-1.2708,0.2143,0.5177,-2.8666,0.0059,42
0.7,0.1,0.95,-1.2708,0.2143,0.5177,-1.4333,0.003,42
0.7,0.1,0.95,-1.2708,0.2143,0.5177,-2.8666,0.0059,42
0.65,0.15,0.95,-1.346,0.2195,0.4828,-1.7137,0.0033,41
0.65,0.15,0.95,-1.346,0.2195,0.4828,-3.4275,0.0066,41
0.7,0.15,0.95,-1.346,0.2195,0.4828,-1.7137,0.0033,41
0.7,0.15,0.95,-1.346,0.2195,0.4828,-3.4275,0.0066,41
0.75,0.15,0.95,-1.346,0.2195,0.4828,-1.7137,0.0033,41
0.75,0.15,0.95,-1.346,0.2195,0.4828,-3.4275,0.0066,41
0.65,0.1,0.9,-1.4763,0.1579,0.4793,-1.3299,0.0027,38
0.65,0.1,0.9,-1.4763,0.1579,0.4793,-2.6598,0.0054,38
0.7,0.1,0.9,-1.4763,0.1579,0.4793,-1.3299,0.0027,38
0.7,0.1,0.9,-1.4763,0.1579,0.4793,-2.6598,0.0054,38
0.78,0.15,0.95,-1.4765,0.2258,0.4501,-1.5759,0.0029,31
0.78,0.15,0.95,-1.4765,0.2258,0.4501,-3.1517,0.0059,31
0.8,0.15,0.95,-1.4765,0.2258,0.4501,-1.5759,0.0029,31
0.8,0.15,0.95,-1.4765,0.2258,0.4501,-3.1517,0.0059,31
0.75,0.2,0.95,-1.4891,0.2,0.4101,-1.6496,0.0025,30
0.75,0.2,0.95,-1.4891,0.2,0.4101,-3.2993,0.005,30
0.78,0.15,0.95,-1.5839,0.2195,0.4315,-1.9862,0.0036,41
0.78,0.15,0.95,-1.5839,0.2195,0.4315,-3.9723,0.0071,41
0.75,0.1,0.95,-1.5979,0.2121,0.4419,-2.0825,0.0032,33
0.75,0.1,0.95,-1.5979,0.2121,0.4419,-4.1649,0.0063,33
0.8,0.15,0.95,-1.6255,0.2195,0.422,-2.0364,0.0036,41
0.8,0.15,0.95,-1.6255,0.2195,0.422,-4.0729,0.0072,41
0.75,0.1,0.95,-1.6479,0.2143,0.4458,-1.8045,0.0033,42
0.75,0.1,0.95,-1.6479,0.2143,0.4458,-3.6089,0.0066,42
0.65,0.1,0.95,-1.7452,0.2121,0.4161,-2.217,0.0033,33
0.65,0.1,0.95,-1.7452,0.2121,0.4161,-4.4339,0.0066,33
0.7,0.1,0.95,-1.7452,0.2121,0.4161,-2.217,0.0033,33
0.7,0.1,0.95,-1.7452,0.2121,0.4161,-4.4339,0.0066,33
0.78,0.1,0.95,-1.7528,0.2143,0.4272,-1.9001,0.0034,42
0.78,0.1,0.95,-1.7528,0.2143,0.4272,-3.8002,0.0068,42
0.8,0.1,0.95,-1.7528,0.2143,0.4272,-1.9001,0.0034,42
0.8,0.1,0.95,-1.7528,0.2143,0.4272,-3.8002,0.0068,42
0.75,0.1,0.9,-1.7783,0.1579,0.4279,-1.5555,0.0029,38
0.75,0.1,0.9,-1.7783,0.1579,0.4279,-3.1111,0.0059,38
0.65,0.2,0.95,-1.8526,0.1795,0.3139,-1.8265,0.0029,39
0.65,0.2,0.95,-1.8526,0.1795,0.3139,-3.653,0.0059,39
0.7,0.2,0.95,-1.8526,0.1795,0.3139,-1.8265,0.0029,39
0.7,0.2,0.95,-1.8526,0.1795,0.3139,-3.653,0.0059,39
0.75,0.2,0.95,-1.8526,0.1795,0.3139,-1.8265,0.0029,39
0.75,0.2,0.95,-1.8526,0.1795,0.3139,-3.653,0.0059,39
0.8,0.1,0.95,-1.8894,0.2121,0.3924,-2.3407,0.0034,33
0.8,0.1,0.95,-1.8894,0.2121,0.3924,-4.6814,0.0069,33
0.78,0.2,0.95,-1.9021,0.2,0.3343,-1.9585,0.0027,30
0.78,0.2,0.95,-1.9021,0.2,0.3343,-3.917,0.0055,30
0.8,0.2,0.95,-1.9021,0.2,0.3343,-1.9585,0.0027,30
0.8,0.2,0.95,-1.9021,0.2,0.3343,-3.917,0.0055,30
0.78,0.1,0.95,-1.9443,0.2121,0.3827,-2.3913,0.0035,33
0.78,0.1,0.95,-1.9443,0.2121,0.3827,-4.7827,0.007,33
0.75,0.15,0.9,-1.9897,0.1622,0.3513,-1.6851,0.0026,37
0.75,0.15,0.9,-1.9897,0.1622,0.3513,-3.3702,0.0052,37
0.78,0.2,0.95,-1.9907,0.1795,0.2905,-1.9221,0.003,39
0.78,0.2,0.95,-1.9907,0.1795,0.2905,-3.8443,0.0059,39
0.8,0.2,0.95,-1.9907,0.1795,0.2905,-1.9221,0.003,39
0.8,0.2,0.95,-1.9907,0.1795,0.2905,-3.8443,0.0059,39
0.78,0.1,0.9,-2.2057,0.1579,0.3608,-1.8501,0.0032,38
0.78,0.1,0.9,-2.2057,0.1579,0.3608,-3.7001,0.0065,38
0.65,0.15,0.9,-2.2093,0.1622,0.3194,-1.8133,0.0027,37
0.65,0.15,0.9,-2.2093,0.1622,0.3194,-3.6266,0.0055,37
0.7,0.15,0.9,-2.2093,0.1622,0.3194,-1.8133,0.0027,37
0.7,0.15,0.9,-2.2093,0.1622,0.3194,-3.6266,0.0055,37
0.8,0.1,0.9,-2.4242,0.1579,0.3285,-1.9916,0.0032,38
0.8,0.1,0.9,-2.4242,0.1579,0.3285,-3.9833,0.0065,38
0.78,0.15,0.9,-2.5052,0.1622,0.2782,-1.9796,0.0029,37
